latitude,longitude,count
-37.9,144.6667,41
-37.9,145.0833,11
-37.9,145.1,20
-37.9,145.1167,8
-37.9,145.1833,42
-37.9,145.2333,11
-37.9,145.3333,7
-37.9,145.35,6
-37.9,145.3833,2
-37.8989,145.2692,3
-37.8981,145.0884,34
-37.8979,145.0074,2
-37.8957,176.1919,1
-37.8956,145.026,29
-37.8913,146.786,1
-37.8902,145.0711,9
-37.8898,145.2496,38
-37.8886,176.7586,1
-37.8877,145.0952,19
-37.8864,145.0025,16
-37.8846,145.2954,46
-37.8833,145.0,1
-37.8833,145.05,15
-37.8833,145.0667,42
-37.8833,145.2167,55
-37.8833,145.3333,1
-37.8833,145.3667,2
-37.8833,145.4,4
-37.8826,144.7003,76
-37.8825,145.0229,23
-37.8821,144.9821,30
-37.8812,147.981,2
-37.8809,144.7587,1
-37.8782,175.4402,21
-37.8781,145.1648,84
-37.8771,145.1294,77
-37.8753,142.2907,1
-37.874,145.0425,58
-37.8696,144.8304,36
-37.8692,144.9977,11
-37.8667,-67.8333,6
-37.8667,144.6667,69
-37.8667,145.0,47
-37.8667,145.0667,95
-37.8667,145.2833,45
-37.8667,145.35,4
-37.8667,147.0333,1
-37.8659,145.0002,13
-37.8633,144.9802,67
-37.8626,145.0281,38
-37.8626,145.0794,61
-37.862,144.7698,17
-37.857,144.8977,45
-37.8554,145.0205,21
-37.8548,144.9927,18
-37.8526,175.6993,1
-37.8514,175.3865,1
-37.8511,144.9932,60
-37.8507,175.8962,1
-37.8505,145.0949,38
-37.85,145.15,15
-37.85,145.2167,13
-37.85,145.2667,51
-37.85,145.3167,11
-37.85,145.3667,1
-37.8443,144.8848,34
-37.8436,147.0727,1
-37.843,175.2852,1
-37.8421,145.0694,66
-37.8416,145.0144,141
-37.8396,144.9423,108
-37.8386,176.1706,1
-37.8362,145.1943,38
-37.8349,144.8474,20
-37.8333,-58.25,45
-37.8333,-57.5,6
-37.8333,144.9667,112
-37.8333,144.9833,161
-37.8333,145.0,100
-37.8333,145.1833,14
-37.8333,145.25,18
-37.8333,147.8667,1
-37.8324,145.121,14
-37.8318,140.7792,22
-37.8298,144.8852,4
-37.8286,145.0077,7
-37.8271,145.0064,9
-37.8252,145.1004,42
-37.8248,145.0464,1
-37.8247,145.0848,20
-37.8232,145.1511,2
-37.8229,147.6104,16
-37.8228,144.9643,248
-37.8205,144.8159,7
-37.8204,145.1731,60
-37.8199,145.0358,171
-37.8198,175.2865,7
-37.819,145.1533,66
-37.8189,145.1254,54
-37.8182,145.0018,472
-37.8167,143.7667,1
-37.8167,144.7333,21
-37.8167,144.75,24
-37.8167,144.9,74
-37.8167,144.9879,6
-37.8167,145.05,10
-37.8167,145.0667,2
-37.8167,145.1,3
-37.8167,145.2,16
-37.8167,145.2333,32
-37.8167,145.25,20
-37.8167,145.35,17
-37.8167,145.3667,1
-37.8167,145.4167,2
-37.8167,147.65,1
-37.8153,144.9756,6
-37.8152,175.7832,13
-37.8149,144.9505,102
-37.814,144.9633,481
-37.8139,144.9634,105
-37.8117,145.081,15
-37.8111,175.7725,2
-37.8109,174.8709,6
-37.8103,144.9544,2470
-37.8101,144.95,5
-37.8064,145.0309,113
-37.8027,145.1266,5
