latitude,longitude,count
-5.9,143.1944,9.0
-6.1273,146.8645,387.0
-6.2733,155.5781,38.0
-8.0692,159.1756,13.0
-7.9429,178.6495,26.0
-3.122,114.4415,160.0
-4.6489,119.1741,175.0
-3.7405,127.358,19.0
-4.7798,136.5504,9.0
-3.1477,141.3988,30.0
-3.8534,147.9067,10.0
-4.2271,152.2667,8.0
0.1205,109.5676,94.0
-0.7176,117.4033,333.0
0.3228,124.3303,29.0
-0.9969,132.226,8.0
-2.0167,147.2667,4.0
-0.596,167.4497,40.0
2.5868,112.3688,1646.0
3.5774,117.7078,27.0
1.4718,125.0317,39.0
1.4167,173.0,6.0
4.8707,114.8863,163.0
6.0197,117.1808,233.0
6.8832,125.1181,206.0
7.3704,134.4383,24.0
6.9427,157.9696,45.0
5.3233,162.9897,49.0
7.0909,171.3298,7.0
10.9333,108.1,4.0
10.0734,119.7045,27.0
9.9207,123.9354,1285.0
8.0823,134.7173,1.0
9.538,138.097,1.0
8.95,167.942,9.0
21.3434,-157.881,1387.0
20.0992,-155.9363,537.0
21.8753,-158.9564,187.0
23.9656,-108.8407,548.0
26.7747,-109.6336,676.0
30.6237,-110.8161,637.0
33.8413,-117.9196,35705.0
33.3694,-111.7853,12419.0
37.575,-122.1118,19407.0
36.4655,-118.1953,10126.0
36.67,-111.2646,1302.0
39.3446,-122.3347,3032.0
38.9951,-120.674,5558.0
40.5531,-111.4111,6704.0
43.8283,-123.1387,3504.0
43.6865,-117.0284,2252.0
43.2304,-111.2137,1279.0
15.8447,-96.6683,39.0
15.9348,-93.5035,23.0
16.6811,-99.2316,7.0
16.3826,-98.0711,13.0
16.4233,-96.7634,13.0
16.3588,-95.1202,110.0
16.6891,-93.186,303.0
17.1775,-100.4489,23.0
16.9319,-99.836,181.0
17.1111,-97.8808,15.0
17.0554,-96.7175,177.0
16.9388,-95.0456,15.0
16.9002,-93.1927,19.0
17.877,-102.0075,108.0
17.5994,-101.3356,10.0
17.5672,-99.3631,104.0
17.8167,-97.7844,27.0
18.0765,-96.154,33.0
17.9607,-94.7204,121.0
17.9422,-93.0963,280.0
11.8923,-86.1025,28.0
11.7667,-85.375,2.0
12.5834,-87.1542,12.0
12.1863,-86.307,135.0
12.1055,-85.0056,3.0
12.5847,-81.7006,20.0
13.3089,-87.998,9.0
12.9996,-86.0974,36.0
13.0,-85.0,126.0
13.7869,-90.0381,1.0
13.7584,-89.1359,645.0
13.5557,-87.9975,52.0
13.7987,-86.5282,13.0
14.575,-91.6271,8.0
14.6184,-90.5459,575.0
14.3218,-89.6231,18.0
14.1269,-87.2923,167.0
14.4833,-86.4778,3.0
14.9088,-91.9447,122.0
14.9914,-91.0207,17.0
14.9486,-89.3605,20.0
15.3478,-87.9667,15.0
15.0,-86.5,421.0
15.2667,-83.7667,2.0
15.7774,-92.428,4.0
15.4999,-90.2524,500.0
15.4833,-88.8167,1.0
15.5683,-87.9261,92.0
15.7548,-86.709,59.0
16.5633,-92.4669,99.0
16.1,-88.8,1.0
16.5167,-88.3778,3.0
16.3,-86.55,22.0
17.0108,-92.2153,14.0
17.3588,-91.2544,5.0
17.2381,-88.7899,170.0
16.9445,-88.2584,6.0
17.733,-91.9113,102.0
17.782,-91.3631,2.0
18.0667,-88.55,3.0
17.5434,-88.2249,58.0
11.5444,-72.9072,22.0
11.3832,-72.2432,2.0
11.6997,-70.1996,54.0
11.4092,-69.6672,19.0
11.9487,-66.6764,6.0
12.5204,-70.0056,127.0
12.1485,-68.9646,309.0
12.2006,-68.2935,53.0
17.9862,-77.4153,76.0
17.9933,-76.8076,342.0
17.9466,-71.59,5.0
18.0833,-71.2833,1.0
18.1167,-68.7167,5.0
18.0762,-67.0893,81.0
18.0243,-66.4689,288.0
